1.0254,4.9412,1.0254,1.7,20.4706,4.6526,4.3142,2.4706,207.3529,1.5217,3.9286,0.5714,7.2857,21.9412,4.6526,1.005,81.8824,2.999,2.8238,10.0086,2.999,0.1429,0.1818,1.0,1.0,0.1429,0.1818,0.0216,0.0341,0.0299,0.0409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.2637,4.4167,1.2637,3.0,25.1667,4.2862,4.0505,3.5,177.25,1.16,4.0667,0.0,6.1,27.5833,4.2862,1.5811,83.4684,2.4827,2.2505,11.7151,2.4827,0.25,0.4118,1.0,1.0,0.25,0.4118,0.032,0.0272,0.0387,0.0307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.1228,7.1333,1.1228,5.0,25.1333,4.6722,4.438,3.1333,223.0,2.125,6.0556,0.0,8.3846,26.6667,4.6722,0.8165,94.0403,3.1096,2.9983,15.0052,3.1096,0.25,0.1935,1.0,0.9677,0.25,0.1935,0.0273,0.0342,0.0215,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,4.3571,1.0,2.3333,17.5,4.5477,4.3693,2.5,137.8571,1.5,4.7692,0.0,8.8571,19.7857,4.5477,1.7951,63.0971,2.8963,2.7315,5.3476,2.8963,0.25,0.1579,1.0,1.0,0.375,0.2105,0.0268,0.037,0.017,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9519,3.2083,0.9519,1.8462,14.0417,4.2909,4.1818,1.5417,209.0417,1.3929,2.6316,0.0,7.1429,15.5417,4.2909,0.9484,67.3415,2.5406,2.429,7.0236,2.5406,0.4545,0.3125,1.0,0.875,0.4545,0.3125,0.0789,0.0747,0.0673,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0849,3.1111,1.0849,1.9286,13.2593,4.8192,4.6181,1.6296,230.963,1.3636,4.2917,0.0,7.3571,15.3704,4.8192,1.0326,67.6092,2.9872,2.8093,8.5034,2.9872,0.1538,0.1,1.0,0.9,0.1538,0.1,0.0342,0.0477,0.0222,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.1228,2.3684,1.1228,1.7273,11.2105,4.7703,4.6555,1.1053,114.5263,0.6364,4.1667,0.5,7.1,12.8947,4.7703,0.8624,47.5622,2.7399,2.5874,8.6687,2.7399,0.125,0.0909,1.0,0.8182,0.125,0.0909,0.0096,0.0254,0.0123,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.2444,3.6154,1.2444,1.625,11.1538,4.7343,4.7343,0.9231,111.9231,0.5,0.0,0.0,0.0,12.7692,4.7343,0.857,38.6381,2.6204,2.5828,7.8363,2.6204,0.2,0.1429,1.0,0.8571,0.2,0.1429,0.01,0.02,0.0071,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.9815,2.3571,0.9815,3.5,8.7857,4.4448,4.3978,1.0952,227.119,1.4375,1.9375,0.0,7.75,10.5238,4.4448,1.8028,56.256,2.7297,2.6409,6.7268,2.7297,0.0333,0.0278,1.0,0.8056,0.0333,0.0278,0.0244,0.0543,0.0315,0.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.2385,4.0769,1.2385,1.7333,13.4615,4.7069,4.3621,1.5,226.8462,1.0435,3.9286,0.0,5.5,16.3846,4.7069,0.6799,67.3077,2.7824,2.5157,7.6915,2.7824,0.0909,0.0769,1.0,1.0,0.0909,0.0769,0.0045,0.0144,0.0038,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
